it,bt,km,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,car_links,Top Feature 3,Top Feature 4,Top Feature 5,Top Feature 6,Top Feature 7,Top Feature 8,commonIcon,Top Feature 9,Insurance Validity,Fuel Type,Seats,RTO,Transmission,Mileage,Engine,Max Power,Torque,Color,Engine Type,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Alloy Wheel Size,city,color
0,Hatchback,11662,2,Renault,Renault KWID,2020,7433,1.0 RXT AMT Opt,5.82,https://www.cardekho.com/buy-used-car-details/used-Renault-Kwid-1.0-Rxt-Amt-Opt-cars-Bangalore_d3fb16b1-2f06-49ba-9ce0-cc96810d8552.htm,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Zero Dep,Petrol,5,KA01,Automatic,22,999,67,91,silver,Petrol Engine,3,4,DOHC,MPFi,No,No,3731,1579,1474,2422,1295,1290,750,1340,5,FWD,Hydraulic,4.9,Disc,Drum,165,12.36,"Tubeless,Radial",5,279,17,Bangalore,silver
0,Hatchback,36176,1,Hyundai,Hyundai Grand i10,2018,5604,1.2 Kappa Sportz BSIV,6.15,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-1.2-Kappa-Sportz-Bsiv-cars-Bangalore_8c9373c9-d67b-4d80-b404-b3f1251f2462.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Third Party,Petrol,5,KA19,Manual,19,1197,81.86,113.75,white,Kappa VTVT Petrol Engine,4,4,DOHC,MPFI,No,No,3765,1660,1520,2425,1479,1493,1120,1340,5,FWD,Power,4.8,Disc,Drum,165,12.9,Tubeless,5,256,17,Bangalore,white
0,Hatchback,74342,2,Honda,Honda Jazz,2015,1340,1.2 V AT i VTEC,5.6,https://www.cardekho.com/buy-used-car-details/used-Honda-Jazz-1.2-V-At-I-Vtec-cars-Bangalore_3144435e-0a2b-4f72-a8a5-f812d7776e57.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Third Party,Petrol,5,KA03,Automatic,19,1199,88.7,110,red,i-VTEC Petrol Engine,4,4,SOHC,PGM - Fi,No,No,3955,1694,1544,2530,1295,1290,1066,1340,5,FWD,Power,5.1,Disc,Drum,172,13.7,"Tubeless,Radial",5,354,15,Bangalore,red
0,Hatchback,11912,2,Maruti,Maruti Swift,2015,7084,VXI,5.35,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vxi-cars-Bangalore_6c4dbc19-be56-4863-98ea-58bc000d5008.htm,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Third Party,Petrol,5,KA53,Manual,21,1197,81.8,113,white,VTVT Engine,4,4,DOHC,MPFi,No,No,3840,1735,1530,2450,1530,1530,855,1315,5,FWD,Hydraulic,4.8,Disc,Drum,165,12.71,Tubeless,5,268,16,Bangalore,white
0,Hatchback,55544,2,Maruti,Maruti Swift,2012,4204,VDI,4.46,https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Vdi-cars-Bangalore_8d95d97e-a321-4b20-80c1-826850b003de.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Third Party,Diesel,5,KA01,Manual,23,1248,74,190,red,DDiS Diesel Engine,4,4,DOHC,CRDI,Yes,No,3850,1695,1530,2430,1485,1495,1060,1505,5,FWD,Power,4.8,Disc,Drum,158,13.75,"Tubeless,Radial",5,232,14,Bangalore,red
0,SUV,27027,1,Ford,Ford Ecosport,2019,6088,1.5 Petrol Titanium Plus AT BSIV,10.18,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-1.5-Petrol-Titanium-Plus-At-Bsiv-cars-Bangalore_cb0b7a45-5c2a-4966-a873-a273b973fe5b.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Comprehensive,Petrol,5,KA02,Automatic,15,1497,121.36,150,white,Ti-VCT Petrol Engine,3,4,DOHC,Direct Injection,No,No,3998,1765,1647,2519,1295,1290,1320,1705,6,FWD,Power,5.3,Disc,Drum,171.43,12.51,"Tubeless,Radial",4,352,16,Bangalore,white
0,Sedan,56363,1,Honda,Honda City,2017,1217,i VTEC CVT VX,8.4,https://www.cardekho.com/buy-used-car-details/used-Honda-City-I-Vtec-Cvt-Vx-cars-Bangalore_b6755bcf-b39f-4df6-b464-c2dbb03b001b.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Zero Dep,Petrol,5,KA01,Automatic,18,1497,117.3,145,silver,i VTEC Engine,4,4,SOHC,PGM-Fi,No,No,4440,1695,1495,2600,1480,1465,1085,1340,5,FWD,Power,5.3,Disc,Drum,195,10,"Tubeless,Radial",4,510,15,Bangalore,silver
0,Sedan,42094,2,Hyundai,Hyundai Verna,2016,1842,1.6 VTVT S,6.54,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Verna-1.6-Vtvt-S-cars-Bangalore_f7588a06-f366-451a-8717-2e30c9d2c48c.htm,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Comprehensive,Petrol,5,KA04,Manual,17,1591,121.3,154.9,others,VTVT Petrol Engine,4,4,DOHC,MPFI,No,No,4375,1700,1475,2570,1295,1290,1250,1340,5,FWD,Power,5.2,Disc,Drum,196,10.5,Tubeless,4,465,15,Bangalore,others
0,SUV,114912,1,Kia,Kia Seltos,2019,7110,GTK,11.25,https://www.cardekho.com/used-car-details/used-Kia-Seltos-Gtk-cars-Bangalore_2c29a772-3b5a-4340-b283-04f878a1a6c9.htm,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Radio,Comprehensive,Petrol,5,KA04,Manual,16,1353,138,242,white,VTVT Petrol Engine,4,4,DOHC,GDI,Yes,No,4315,1800,1645,2610,1295,1290,1445,1340,6,2WD,Power,5.3,Disc,Drum,165,11.8,"Tubeless,Radial",5,433,17,Bangalore,white
0,Hatchback,33649,1,Maruti,Maruti Swift,2016,6242,VVT VXI,5.85,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vvt-Vxi-cars-Bangalore_3c327fd9-d19d-432f-99f5-24c69ba30e62.htm,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,https://stimg.cardekho.com/pwa/img/vdpN/tickG.svg,Cd Player,Third Party,Petrol,5,KA50,Manual,22,1197,81.8,113,red,VTVT Engine,4,4,DOHC,MPFi,No,No,3840,1735,1530,2450,1530,1530,860,1315,5,2WD,Power,4.8,Disc,Drum,165,12.36,Tubeless,5,510,17,Bangalore,red
